[2022-11-17 09:25:08.840] [pxr_streamer] [info] ***********  Log Begin **********
[2022-11-17 09:25:08.840] [pxr_streamer] [info] process id= 14488
[2022-11-17 09:25:08.840] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:25:08.856] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0x6cc30780
[2022-11-17 09:25:08.856] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0x6cc30780
[2022-11-17 09:25:11.888] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:25:14.907] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:25:17.948] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:25:20.977] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:25:24.009] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:25:27.042] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:25:30.096] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:25:33.150] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:25:36.199] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:25:39.249] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:25:42.299] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:25:45.328] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:25:48.361] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:25:51.426] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:25:54.484] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:25:57.533] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:26:00.595] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:26:03.640] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:26:06.677] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:26:09.713] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:26:12.756] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:26:15.800] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:26:18.836] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:26:21.866] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:26:24.913] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:26:27.952] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:26:30.980] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:26:34.009] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:26:34.072] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x62d4dd20
[2022-11-17 09:26:34.072] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0x62d4dd20
[2022-11-17 09:26:34.072] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0x62d4dd20
[2022-11-17 09:26:37.057] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:26:37.119] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x62d4dd20
[2022-11-17 09:26:40.089] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:26:40.153] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x62d4dd20
[2022-11-17 09:26:43.121] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:26:43.183] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x62d4dd20
[2022-11-17 09:26:46.164] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:26:46.241] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x62d4dd20
[2022-11-17 09:26:49.204] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:26:49.281] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x62d4dd20
[2022-11-17 09:26:52.249] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:26:52.310] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x62d4dd20
[2022-11-17 09:26:55.291] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:26:55.353] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x62d4dd20
[2022-11-17 09:26:58.330] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x6cc30780
[2022-11-17 09:26:58.391] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x62d4dd20
