[2023-04-03 16:31:50.103] [pxr_streamer] [info] ***********  Log Begin **********
[2023-04-03 16:31:50.103] [pxr_streamer] [info] process id= 81624
[2023-04-03 16:31:50.103] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:31:50.108] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = Hello, this = 0x4e975490
[2023-04-03 16:31:50.108] [pxr_streamer] [error] rpc_terminal.h:50 Call: invalid rpc_client_, msg = QueryRemoteTerminals, this = 0x4e975490
[2023-04-03 16:31:53.133] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:31:56.179] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:31:59.202] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:32:02.221] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:32:05.272] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:32:08.290] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:32:11.329] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:32:14.375] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:32:17.433] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:32:20.488] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:32:23.504] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:32:26.542] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:32:29.582] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:32:32.634] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:32:35.707] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:32:38.749] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:32:41.805] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:32:44.850] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:32:47.873] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:32:50.928] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:32:53.976] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:32:57.018] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:33:00.073] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:33:03.132] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:33:06.155] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:33:09.204] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:33:12.237] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:33:15.291] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:33:18.347] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:33:21.388] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:33:24.453] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:33:27.486] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:33:30.547] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:33:33.585] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:33:36.645] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:33:39.694] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:33:42.725] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:33:45.776] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:33:48.814] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:33:51.878] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:33:54.913] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:33:57.960] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:34:00.990] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:34:04.038] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:34:07.064] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:34:10.104] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:34:13.158] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:34:16.207] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:34:19.256] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:34:22.288] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:34:25.321] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
[2023-04-03 16:34:28.355] [pxr_streamer] [error] rpc_terminal.cpp:37 operator (): connect failed, error= Aucune connexion n’a pu être établie car l’ordinateur cible l’a expressément refusée., this = 0x4e975490
